or,or
"Help Us Keep Magento Healthy","Help Us Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Welcome, %1!","Welcome, %1!"
"Toggle Nav","Toggle Nav"
"My Account","My Account"
"Create an Account","Create an Account"
"Sign In", "Login"
"Sign Out", "Logout"
"My Wish List", "My Favorities"
